Module,Route,Loads,CRUD,Search,Filters,Pagination,Validation,EmptyState,Permissions,UX,Score,Notes
access,/access/events,,,,,,,,,,,
access,/access/grants,,,,,,,,,,,
access,/access,,,,,,,,,,,
access,/access/points/[id],,,,,,,,,,,
access,/access/points/new,,,,,,,,,,,
access,/access/points,,,,,,,,,,,
communications,/communications/[id],,,,,,,,,,,
communications,/communications/new,,,,,,,,,,,
communications,/communications,,,,,,,,,,,
dashboard,/dashboard,,,,,,,,,,,
docs,/docs/[...slug],,,,,,,,,,,
docs,/docs,,,,,,,,,,,
facilities,/facilities/assets/[id],,,,,,,,,,,
facilities,/facilities/assets/new,,,,,,,,,,,
facilities,/facilities/assets,,,,,,,,,,,
facilities,/facilities,,,,,,,,,,,
helpdesk,/helpdesk/[id],,,,,,,,,,,
helpdesk,/helpdesk/new,,,,,,,,,,,
helpdesk,/helpdesk,,,,,,,,,,,
invoices,/invoices/[id],,,,,,,,,,,
invoices,/invoices/new,,,,,,,,,,,
invoices,/invoices,,,,,,,,,,,
leases,/leases/[id],,,,,,,,,,,
leases,/leases/new,,,,,,,,,,,
leases,/leases,,,,,,,,,,,
login,/login,,,,,,,,,,,
maintenance,/maintenance/[id],,,,,,,,,,,
maintenance,/maintenance/new,,,,,,,,,,,
maintenance,/maintenance,,,,,,,,,,,
notifications,/notifications,,,,,,,,,,,
operations,/operations,,,,,,,,,,,
root,/,,,,,,,,,,,
plugins,/plugins/[id],,,,,,,,,,,
plugins,/plugins/install,,,,,,,,,,,
plugins,/plugins/marketplace,,,,,,,,,,,
plugins,/plugins,,,,,,,,,,,
procurement,/procurement/comparison,,,,,,,,,,,
procurement,/procurement/dashboard,,,,,,,,,,,
procurement,/procurement/goods-receipts/[id],,,,,,,,,,,
procurement,/procurement/goods-receipts/new,,,,,,,,,,,
procurement,/procurement/goods-receipts,,,,,,,,,,,
procurement,/procurement/invoice-matches/[id],,,,,,,,,,,
procurement,/procurement/invoice-matches/new,,,,,,,,,,,
procurement,/procurement/invoice-matches,,,,,,,,,,,
procurement,/procurement/payment-requests/[id],,,,,,,,,,,
procurement,/procurement/payment-requests/new,,,,,,,,,,,
procurement,/procurement/payment-requests,,,,,,,,,,,
procurement,/procurement/purchase-orders/[id],,,,,,,,,,,
procurement,/procurement/purchase-orders/new,,,,,,,,,,,
procurement,/procurement/purchase-orders,,,,,,,,,,,
procurement,/procurement/quotations/[id],,,,,,,,,,,
procurement,/procurement/quotations/new,,,,,,,,,,,
procurement,/procurement/quotations,,,,,,,,,,,
procurement,/procurement/requests/[id],,,,,,,,,,,
procurement,/procurement/requests/new,,,,,,,,,,,
procurement,/procurement/requests,,,,,,,,,,,
procurement,/procurement/rfqs/[id]/comparison,,,,,,,,,,,
procurement,/procurement/rfqs/[id],,,,,,,,,,,
procurement,/procurement/rfqs/new,,,,,,,,,,,
procurement,/procurement/rfqs,,,,,,,,,,,
properties,/properties/[id]/edit,,,,,,,,,,,
properties,/properties/[id],,,,,,,,,,,
properties,/properties/[id]/spaces/new,,,,,,,,,,,
properties,/properties/[id]/spaces,,,,,,,,,,,
properties,/properties/[id]/zones/new,,,,,,,,,,,
properties,/properties/[id]/zones,,,,,,,,,,,
properties,/properties/new,,,,,,,,,,,
properties,/properties,,,,,,,,,,,
receipts,/receipts/[id],,,,,,,,,,,
receipts,/receipts/new,,,,,,,,,,,
receipts,/receipts,,,,,,,,,,,
rent-ledgers,/rent-ledgers/[id],,,,,,,,,,,
rent-ledgers,/rent-ledgers/[id]/payments/new,,,,,,,,,,,
rent-ledgers,/rent-ledgers/new,,,,,,,,,,,
rent-ledgers,/rent-ledgers,,,,,,,,,,,
reports,/reports/outstanding-rent,,,,,,,,,,,
reports,/reports,,,,,,,,,,,
reports,/reports/rent-collection,,,,,,,,,,,
reservations,/reservations/[id],,,,,,,,,,,
reservations,/reservations/approvals,,,,,,,,,,,
reservations,/reservations/calendar,,,,,,,,,,,
reservations,/reservations/new,,,,,,,,,,,
reservations,/reservations,,,,,,,,,,,
reservations,/reservations/resources/[id],,,,,,,,,,,
reservations,/reservations/resources/new,,,,,,,,,,,
reservations,/reservations/resources,,,,,,,,,,,
resident,/resident/helpdesk/[id],,,,,,,,,,,
resident,/resident/helpdesk/new,,,,,,,,,,,
resident,/resident/helpdesk,,,,,,,,,,,
resident,/resident/maintenance/new,,,,,,,,,,,
resident,/resident/maintenance,,,,,,,,,,,
resident,/resident/notices/[id],,,,,,,,,,,
resident,/resident/notices,,,,,,,,,,,
resident,/resident,,,,,,,,,,,
resident,/resident/reservations/new,,,,,,,,,,,
resident,/resident/reservations,,,,,,,,,,,
resident,/resident/staff/new,,,,,,,,,,,
resident,/resident/staff,,,,,,,,,,,
resident,/resident/vehicles/new,,,,,,,,,,,
resident,/resident/vehicles,,,,,,,,,,,
resident,/resident/visitors/new,,,,,,,,,,,
resident,/resident/visitors,,,,,,,,,,,
scheduler,/scheduler,,,,,,,,,,,
security,/security/access,,,,,,,,,,,
security,/security,,,,,,,,,,,
security,/security/staff,,,,,,,,,,,
security,/security/vehicles,,,,,,,,,,,
staff,/staff/[id],,,,,,,,,,,
staff,/staff/new,,,,,,,,,,,
staff,/staff,,,,,,,,,,,
tenants,/tenants/[id]/assign-space,,,,,,,,,,,
tenants,/tenants/[id],,,,,,,,,,,
tenants,/tenants/[id]/spaces,,,,,,,,,,,
tenants,/tenants/new,,,,,,,,,,,
tenants,/tenants,,,,,,,,,,,
themes,/themes/[id],,,,,,,,,,,
themes,/themes/packages/new,,,,,,,,,,,
