ReviewOrder,Module,Route,VisualDesign,Navigation,Layout,Typography,Spacing,Responsiveness,LoadingState,EmptyState,ErrorHandling,Forms,Tables,Actions,Performance,OverallScore,Status,Priority,ScreenshotReference,Findings,SuggestedImprovement,Reviewed
1,access,/access/events,,,,,,,,,,,,,,,Not Audited,,,,,No
2,access,/access/grants,,,,,,,,,,,,,,,Not Audited,,,,,No
3,access,/access,,,,,,,,,,,,,,,Not Audited,,,,,No
4,access,/access/points/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
5,access,/access/points/new,,,,,,,,,,,,,,,Not Audited,,,,,No
6,access,/access/points,,,,,,,,,,,,,,,Not Audited,,,,,No
7,communications,/communications/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
8,communications,/communications/new,,,,,,,,,,,,,,,Not Audited,,,,,No
9,communications,/communications,,,,,,,,,,,,,,,Not Audited,,,,,No
10,dashboard,/dashboard,4.5,4,4.3,4.5,4,Not Reviewed,Not Observed,Not Applicable,Not Observed,Not Applicable,Not Applicable,4.5,5,4.3,Production Ready,,Founder screenshots captured externally,"Founder browser re-audit confirmed that the dashboard now functions as an operational command centre. Priorities and exceptions appear before portfolio metrics, six quick actions are immediately available, and finance and platform readiness are presented as secondary operational panels.","Deferred polish includes reducing the hero height, replacing the property-count badge with a richer health summary, adding stronger semantic emphasis to critical financial values, and introducing trend indicators when historical data is available.",Yes
11,docs,/docs/[...slug],,,,,,,,,,,,,,,Not Audited,,,,,No
12,docs,/docs,,,,,,,,,,,,,,,Not Audited,,,,,No
13,facilities,/facilities/assets/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
14,facilities,/facilities/assets/new,,,,,,,,,,,,,,,Not Audited,,,,,No
15,facilities,/facilities/assets,,,,,,,,,,,,,,,Not Audited,,,,,No
16,facilities,/facilities,,,,,,,,,,,,,,,Not Audited,,,,,No
17,helpdesk,/helpdesk/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
18,helpdesk,/helpdesk/new,,,,,,,,,,,,,,,Not Audited,,,,,No
19,helpdesk,/helpdesk,,,,,,,,,,,,,,,Not Audited,,,,,No
20,invoices,/invoices/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
21,invoices,/invoices/new,,,,,,,,,,,,,,,Not Audited,,,,,No
22,invoices,/invoices,,,,,,,,,,,,,,,Not Audited,,,,,No
23,leases,/leases/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
24,leases,/leases/new,,,,,,,,,,,,,,,Not Audited,,,,,No
25,leases,/leases,,,,,,,,,,,,,,,Not Audited,,,,,No
26,login,/login,4,4,5,5,5,Not Reviewed,Covered,Not Applicable,Implemented,4,Not Applicable,4,5,4.5,Production Ready,,Founder screenshot captured externally,"Login remains visually clean and professional. Email and password fields are empty by default, password entry remains masked, and credential autocomplete semantics are present.","Optional future polish includes password recovery, remember-me support, improved error presentation, and mobile-width revalidation.",Yes
27,maintenance,/maintenance/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
28,maintenance,/maintenance/new,,,,,,,,,,,,,,,Not Audited,,,,,No
29,maintenance,/maintenance,,,,,,,,,,,,,,,Not Audited,,,,,No
30,notifications,/notifications,,,,,,,,,,,,,,,Not Audited,,,,,No
31,operations,/operations,,,,,,,,,,,,,,,Not Audited,,,,,No
32,root,/,4,4,4,4,4,Not Reviewed,Not Observed,Not Applicable,Not Observed,Not Applicable,Not Applicable,3,5,3.5,Needs Polish,P3,Founder screenshot captured externally,"Clean landing page with strong typography and clear loading. The page is visually sparse and does not yet communicate the platform's differentiators, supported property types, documentation, marketplace, version, or open-source community.","Retain the clean hero but add concise product differentiation, supported verticals, documentation and GitHub entry points, marketplace visibility, and a product preview.",Yes
33,plugins,/plugins/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
34,plugins,/plugins/install,,,,,,,,,,,,,,,Not Audited,,,,,No
35,plugins,/plugins/marketplace,,,,,,,,,,,,,,,Not Audited,,,,,No
36,plugins,/plugins,,,,,,,,,,,,,,,Not Audited,,,,,No
37,procurement,/procurement/comparison,,,,,,,,,,,,,,,Not Audited,,,,,No
38,procurement,/procurement/dashboard,,,,,,,,,,,,,,,Not Audited,,,,,No
39,procurement,/procurement/goods-receipts/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
40,procurement,/procurement/goods-receipts/new,,,,,,,,,,,,,,,Not Audited,,,,,No
41,procurement,/procurement/goods-receipts,,,,,,,,,,,,,,,Not Audited,,,,,No
42,procurement,/procurement/invoice-matches/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
43,procurement,/procurement/invoice-matches/new,,,,,,,,,,,,,,,Not Audited,,,,,No
44,procurement,/procurement/invoice-matches,,,,,,,,,,,,,,,Not Audited,,,,,No
45,procurement,/procurement/payment-requests/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
46,procurement,/procurement/payment-requests/new,,,,,,,,,,,,,,,Not Audited,,,,,No
47,procurement,/procurement/payment-requests,,,,,,,,,,,,,,,Not Audited,,,,,No
48,procurement,/procurement/purchase-orders/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
49,procurement,/procurement/purchase-orders/new,,,,,,,,,,,,,,,Not Audited,,,,,No
50,procurement,/procurement/purchase-orders,,,,,,,,,,,,,,,Not Audited,,,,,No
51,procurement,/procurement/quotations/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
52,procurement,/procurement/quotations/new,,,,,,,,,,,,,,,Not Audited,,,,,No
53,procurement,/procurement/quotations,,,,,,,,,,,,,,,Not Audited,,,,,No
54,procurement,/procurement/requests/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
55,procurement,/procurement/requests/new,,,,,,,,,,,,,,,Not Audited,,,,,No
56,procurement,/procurement/requests,,,,,,,,,,,,,,,Not Audited,,,,,No
57,procurement,/procurement/rfqs/[id]/comparison,,,,,,,,,,,,,,,Not Audited,,,,,No
58,procurement,/procurement/rfqs/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
59,procurement,/procurement/rfqs/new,,,,,,,,,,,,,,,Not Audited,,,,,No
60,procurement,/procurement/rfqs,,,,,,,,,,,,,,,Not Audited,,,,,No
61,properties,/properties/[id]/edit,,,,,,,,,,,,,,,Not Audited,,,,,No
62,properties,/properties/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
63,properties,/properties/[id]/spaces/new,,,,,,,,,,,,,,,Not Audited,,,,,No
64,properties,/properties/[id]/spaces,,,,,,,,,,,,,,,Not Audited,,,,,No
65,properties,/properties/[id]/zones/new,,,,,,,,,,,,,,,Not Audited,,,,,No
66,properties,/properties/[id]/zones,,,,,,,,,,,,,,,Not Audited,,,,,No
67,properties,/properties/new,,,,,,,,,,,,,,,Not Audited,,,,,No
68,properties,/properties,,,,,,,,,,,,,,,Not Audited,,,,,No
69,receipts,/receipts/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
70,receipts,/receipts/new,,,,,,,,,,,,,,,Not Audited,,,,,No
71,receipts,/receipts,,,,,,,,,,,,,,,Not Audited,,,,,No
72,rent-ledgers,/rent-ledgers/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
73,rent-ledgers,/rent-ledgers/[id]/payments/new,,,,,,,,,,,,,,,Not Audited,,,,,No
74,rent-ledgers,/rent-ledgers/new,,,,,,,,,,,,,,,Not Audited,,,,,No
75,rent-ledgers,/rent-ledgers,,,,,,,,,,,,,,,Not Audited,,,,,No
76,reports,/reports/outstanding-rent,,,,,,,,,,,,,,,Not Audited,,,,,No
77,reports,/reports,,,,,,,,,,,,,,,Not Audited,,,,,No
78,reports,/reports/rent-collection,,,,,,,,,,,,,,,Not Audited,,,,,No
79,reservations,/reservations/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
80,reservations,/reservations/approvals,,,,,,,,,,,,,,,Not Audited,,,,,No
81,reservations,/reservations/calendar,,,,,,,,,,,,,,,Not Audited,,,,,No
82,reservations,/reservations/new,,,,,,,,,,,,,,,Not Audited,,,,,No
83,reservations,/reservations,,,,,,,,,,,,,,,Not Audited,,,,,No
84,reservations,/reservations/resources/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
85,reservations,/reservations/resources/new,,,,,,,,,,,,,,,Not Audited,,,,,No
86,reservations,/reservations/resources,,,,,,,,,,,,,,,Not Audited,,,,,No
87,resident,/resident/helpdesk/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
88,resident,/resident/helpdesk/new,,,,,,,,,,,,,,,Not Audited,,,,,No
89,resident,/resident/helpdesk,,,,,,,,,,,,,,,Not Audited,,,,,No
90,resident,/resident/maintenance/new,,,,,,,,,,,,,,,Not Audited,,,,,No
91,resident,/resident/maintenance,,,,,,,,,,,,,,,Not Audited,,,,,No
92,resident,/resident/notices/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
93,resident,/resident/notices,,,,,,,,,,,,,,,Not Audited,,,,,No
94,resident,/resident,,,,,,,,,,,,,,,Not Audited,,,,,No
95,resident,/resident/reservations/new,,,,,,,,,,,,,,,Not Audited,,,,,No
96,resident,/resident/reservations,,,,,,,,,,,,,,,Not Audited,,,,,No
97,resident,/resident/staff/new,,,,,,,,,,,,,,,Not Audited,,,,,No
98,resident,/resident/staff,,,,,,,,,,,,,,,Not Audited,,,,,No
99,resident,/resident/vehicles/new,,,,,,,,,,,,,,,Not Audited,,,,,No
100,resident,/resident/vehicles,,,,,,,,,,,,,,,Not Audited,,,,,No
101,resident,/resident/visitors/new,,,,,,,,,,,,,,,Not Audited,,,,,No
102,resident,/resident/visitors,,,,,,,,,,,,,,,Not Audited,,,,,No
103,scheduler,/scheduler,,,,,,,,,,,,,,,Not Audited,,,,,No
104,security,/security/access,,,,,,,,,,,,,,,Not Audited,,,,,No
105,security,/security,,,,,,,,,,,,,,,Not Audited,,,,,No
106,security,/security/staff,,,,,,,,,,,,,,,Not Audited,,,,,No
107,security,/security/vehicles,,,,,,,,,,,,,,,Not Audited,,,,,No
108,staff,/staff/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
109,staff,/staff/new,,,,,,,,,,,,,,,Not Audited,,,,,No
110,staff,/staff,,,,,,,,,,,,,,,Not Audited,,,,,No
111,tenants,/tenants/[id]/assign-space,,,,,,,,,,,,,,,Not Audited,,,,,No
112,tenants,/tenants/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
113,tenants,/tenants/[id]/spaces,,,,,,,,,,,,,,,Not Audited,,,,,No
114,tenants,/tenants/new,,,,,,,,,,,,,,,Not Audited,,,,,No
115,tenants,/tenants,,,,,,,,,,,,,,,Not Audited,,,,,No
116,themes,/themes/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
117,themes,/themes/packages/new,,,,,,,,,,,,,,,Not Audited,,,,,No
118,themes,/themes/packages,,,,,,,,,,,,,,,Not Audited,,,,,No
119,themes,/themes,,,,,,,,,,,,,,,Not Audited,,,,,No
120,vehicles,/vehicles/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
121,vehicles,/vehicles/new,,,,,,,,,,,,,,,Not Audited,,,,,No
122,vehicles,/vehicles,,,,,,,,,,,,,,,Not Audited,,,,,No
123,vendors,/vendors/[id],,,,,,,,,,,,,,,Not Audited,,,,,No
124,vendors,/vendors/categories,,,,,,,,,,,,,,,Not Audited,,,,,No
125,vendors,/vendors/contracts,,,,,,,,,,,,,,,Not Audited,,,,,No
126,vendors,/vendors/new,,,,,,,,,,,,,,,Not Audited,,,,,No
127,vendors,/vendors,,,,,,,,,,,,,,,Not Audited,,,,,No
