AuditOrder,Module,Route,Loads,Navigation,Breadcrumb,Content,Search,Filters,Pagination,Create,Edit,DeleteOrArchive,Validation,EmptyState,LoadingState,SuccessFeedback,ErrorFeedback,Permissions,Responsive,ConsoleErrors,Score,Status,Notes
1,root,/,Yes,4,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Observed,Not Applicable,Not Observed,Public,Not Reviewed,Not Reviewed,3.5,Needs Polish,"Clean landing page with strong typography and clear loading. The page is visually sparse and does not yet communicate the platform's differentiators, supported property types, documentation, marketplace, version, or open-source community."
2,login,/login,Yes,4,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Covered,Not Applicable,Covered,Redirect,Implemented,Public,Not Reviewed,Not Reviewed,4.2,Needs Polish,"Professional and clear sign-in form. Default administrator email and password are prefilled in the client, which is unacceptable for pilot or production use. Password recovery and optional remember-me behaviour are absent."
3,dashboard,/dashboard,Yes,2,Missing,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Observed,Not Applicable,Not Observed,Authenticated,Not Reviewed,Not Reviewed,2.5,Pilot Blocker,"Dashboard loads quickly and exposes useful operational totals, financial metrics, and platform health. It is primarily a static grid of numbers and does not identify today's priorities, alerts, pending actions, trends, recent activity, or quick actions. The sidebar is very long, mixes resident and administration areas, and requires substantial scrolling."
4,properties,/properties/[id]/edit,,,,,,,,,,,,,,,,,,,,Not Audited,
5,properties,/properties/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
6,properties,/properties/[id]/spaces/new,,,,,,,,,,,,,,,,,,,,Not Audited,
7,properties,/properties/[id]/spaces,,,,,,,,,,,,,,,,,,,,Not Audited,
8,properties,/properties/[id]/zones/new,,,,,,,,,,,,,,,,,,,,Not Audited,
9,properties,/properties/[id]/zones,,,,,,,,,,,,,,,,,,,,Not Audited,
10,properties,/properties/new,,,,,,,,,,,,,,,,,,,,Not Audited,
11,properties,/properties,,,,,,,,,,,,,,,,,,,,Not Audited,
12,tenants,/tenants/[id]/assign-space,,,,,,,,,,,,,,,,,,,,Not Audited,
13,tenants,/tenants/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
14,tenants,/tenants/[id]/spaces,,,,,,,,,,,,,,,,,,,,Not Audited,
15,tenants,/tenants/new,,,,,,,,,,,,,,,,,,,,Not Audited,
16,tenants,/tenants,,,,,,,,,,,,,,,,,,,,Not Audited,
17,leases,/leases/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
18,leases,/leases/new,,,,,,,,,,,,,,,,,,,,Not Audited,
19,leases,/leases,,,,,,,,,,,,,,,,,,,,Not Audited,
20,rent-ledgers,/rent-ledgers/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
21,rent-ledgers,/rent-ledgers/[id]/payments/new,,,,,,,,,,,,,,,,,,,,Not Audited,
22,rent-ledgers,/rent-ledgers/new,,,,,,,,,,,,,,,,,,,,Not Audited,
23,rent-ledgers,/rent-ledgers,,,,,,,,,,,,,,,,,,,,Not Audited,
24,receipts,/receipts/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
25,receipts,/receipts/new,,,,,,,,,,,,,,,,,,,,Not Audited,
26,receipts,/receipts,,,,,,,,,,,,,,,,,,,,Not Audited,
27,invoices,/invoices/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
28,invoices,/invoices/new,,,,,,,,,,,,,,,,,,,,Not Audited,
29,invoices,/invoices,,,,,,,,,,,,,,,,,,,,Not Audited,
30,maintenance,/maintenance/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
31,maintenance,/maintenance/new,,,,,,,,,,,,,,,,,,,,Not Audited,
32,maintenance,/maintenance,,,,,,,,,,,,,,,,,,,,Not Audited,
33,facilities,/facilities/assets/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
34,facilities,/facilities/assets/new,,,,,,,,,,,,,,,,,,,,Not Audited,
