AuditOrder,Module,Route,SuggestedFilename,Captured,Notes
1,root,/,001-root.png,Yes,Founder screenshot captured externally
2,login,/login,002-login.png,Yes,Founder screenshot captured externally
3,dashboard,/dashboard,003-dashboard.png,Yes,Founder screenshots captured externally
4,properties,/properties/[id]/edit,004-properties__id__edit.png,No,
5,properties,/properties/[id],005-properties__id.png,No,
6,properties,/properties/[id]/spaces/new,006-properties__id__spaces__new.png,No,
7,properties,/properties/[id]/spaces,007-properties__id__spaces.png,No,
8,properties,/properties/[id]/zones/new,008-properties__id__zones__new.png,No,
9,properties,/properties/[id]/zones,009-properties__id__zones.png,No,
10,properties,/properties/new,010-properties__new.png,No,
11,properties,/properties,011-properties.png,No,
12,tenants,/tenants/[id]/assign-space,012-tenants__id__assign-space.png,No,
13,tenants,/tenants/[id],013-tenants__id.png,No,
14,tenants,/tenants/[id]/spaces,014-tenants__id__spaces.png,No,
15,tenants,/tenants/new,015-tenants__new.png,No,
16,tenants,/tenants,016-tenants.png,No,
17,leases,/leases/[id],017-leases__id.png,No,
18,leases,/leases/new,018-leases__new.png,No,
19,leases,/leases,019-leases.png,No,
20,rent-ledgers,/rent-ledgers/[id],020-rent-ledgers__id.png,No,
21,rent-ledgers,/rent-ledgers/[id]/payments/new,021-rent-ledgers__id__payments__new.png,No,
22,rent-ledgers,/rent-ledgers/new,022-rent-ledgers__new.png,No,
23,rent-ledgers,/rent-ledgers,023-rent-ledgers.png,No,
24,receipts,/receipts/[id],024-receipts__id.png,No,
25,receipts,/receipts/new,025-receipts__new.png,No,
26,receipts,/receipts,026-receipts.png,No,
27,invoices,/invoices/[id],027-invoices__id.png,No,
28,invoices,/invoices/new,028-invoices__new.png,No,
29,invoices,/invoices,029-invoices.png,No,
30,maintenance,/maintenance/[id],030-maintenance__id.png,No,
31,maintenance,/maintenance/new,031-maintenance__new.png,No,
32,maintenance,/maintenance,032-maintenance.png,No,
33,facilities,/facilities/assets/[id],033-facilities__assets__id.png,No,
34,facilities,/facilities/assets/new,034-facilities__assets__new.png,No,
35,facilities,/facilities/assets,035-facilities__assets.png,No,
36,facilities,/facilities,036-facilities.png,No,
37,staff,/staff/[id],037-staff__id.png,No,
38,staff,/staff/new,038-staff__new.png,No,
39,staff,/staff,039-staff.png,No,
40,vehicles,/vehicles/[id],040-vehicles__id.png,No,
41,vehicles,/vehicles/new,041-vehicles__new.png,No,
42,vehicles,/vehicles,042-vehicles.png,No,
43,visitors,/visitors/[id],043-visitors__id.png,No,
44,visitors,/visitors/new,044-visitors__new.png,No,
45,visitors,/visitors,045-visitors.png,No,
46,helpdesk,/helpdesk/[id],046-helpdesk__id.png,No,
